NKLA/USD,Nikola Corporation_EQUITY_US
HOLX/USD,Hologic_EQUITY_US
NCLH/USD,Norwegian Cruise Lines_EQUITY_US
HOLI/USD,Hollysys Automation Technologies_EQUITY_US
ICLN/USD,iShares Global Clean Energy ETF_EQUITY_US
BAL/USDT,BAL/USDT_CRYPTOCURRENCY_
TWKNC/EUR,TKH Group_EQUITY_NL
FSLR/USD,First Solar_EQUITY_US
FSLY/USD,"Fastly, Inc._EQUITY_US"
RTKMRU/RUB,Rostelecom_EQUITY_RU
MOMO/USD,Momo_EQUITY_US
YOLO/USD,AdvisorShares Pure Cannabis ETF_EQUITY_US
COMP/USD,Compound / USD_CRYPTOCURRENCY_
DOMO/USD,Domo Inc._EQUITY_US
TWLO/USD,Twilio_EQUITY_US
SKLZ/USD,Skillz Inc._EQUITY_US
ACMR/USD,ACM Research Inc._EQUITY_US
TSLA/USD,Tesla_EQUITY_US
ASML/USD,ASML_EQUITY_US
QCLN/USD,First Trust NASDAQ Clean Edge Green Energy Index Fund_EQUITY_US
COMM/USD,CommScope_EQUITY_US
TPX/USD,Tempur Sealy_EQUITY_US
DPZ/USD,Domino's Pizza_EQUITY_US
UN01/EUR,Uniper_EQUITY_DE
PLATINUM/USD,Platinum_COMMODITY_
HPQ/USD,HP_EQUITY_US
TPR/USD,Coach_EQUITY_US
PPL/USD,PPL_EQUITY_US
XPO/USD,XPO Logistics_EQUITY_US
HPE/USD,Hewlett Packard_EQUITY_US
PALLADIUM/USD,Palladium_COMMODITY_
TPG/USD,TPG Inc._EQUITY_US
PPG/USD,PPG_EQUITY_US
GBP/ZAR,GBP/ZAR_CURRENCY_
RY/USD,Royal Bank Of Canada_EQUITY_US
RS/USD,Reliance steel_EQUITY_US
RL/USD,Polo_EQUITY_US
RH/USD,Restoration Hardware_EQUITY_US
RF/USD,Regions Financial_EQUITY_US
RE/USD,Everest_EQUITY_US
BCECA/CAD,BCE_EQUITY_CA
SU/USD,Suncor Energy_EQUITY_US
ST/USD,Sensata Technologies_EQUITY_US
